NAME,R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
39,45,0.016177717,0.393025957,13.01809458,2.79E-06,10.6398407,1599.52819
40,45,0.014813763,0.349356406,12.39367312,2.52E-06,10.618202,1584.27456
41,45,0.013661113,0.314420766,11.75707216,2.26E-06,10.5679055,1752.84558
42,55,0.000968018,0.786051914,1.239427998,3.20E-08,9.66114484,5024.20129
43,55,0.000846828,0.628841531,1.182506021,2.89E-08,10.065894,5493.30841
44,55,0.000752291,0.524034609,1.113771208,2.56E-08,10.1436696,5969.23448
45,55,0.000676582,0.449172522,1.042764882,2.23E-08,10.2004484,6428.84942
46,55,0.000614629,0.393025957,0.973481599,1.95E-08,10.217573,6874.00497
47,55,0.000563017,0.349356406,0.907750935,1.69E-08,10.2207763,7305.98701
48,55,0.00051937,0.314420766,0.846048871,1.48E-08,10.2047609,7727.00714
49,55,0.005818748,0.786051914,6.444559137,9.21E-07,10.1157663,4710.42753
50,55,0.005088723,0.628841531,6.27763271,8.68E-07,10.2182841,5228.64939
51,55,0.004519518,0.524034609,6.006504093,7.89E-07,10.2929467,5731.01307
52,55,0.004063877,0.449172522,5.69323018,7.05E-07,10.3448427,6216.88992
53,55,0.003691173,0.393025957,5.368299466,6.25E-07,10.3735827,6686.77239
54,55,0.003380788,0.349356406,5.046025377,5.51E-07,10.3566217,7141.6025
55,55,0.003118371,0.314420766,4.734907263,4.86E-07,10.3328102,7582.95484
56,55,0.01068255,0.786051914,10.48348353,2.56E-06,10.2219713,4335.43692
57,55,0.009340551,0.628841531,10.36819401,2.49E-06,10.3468962,4914.00762
58,55,0.008294375,0.524034609,10.03829812,2.32E-06,10.4230742,5450.61513
59,55,0.007457119,0.449172522,9.605333841,2.11E-06,10.4748157,5964.13614
60,55,0.006772421,0.393025957,9.127853594,1.90E-06,10.5008755,6457.70163
61,55,0.006202334,0.349356406,8.635851552,1.69E-06,10.48083,6933.52525
62,55,0.005720442,0.314420766,8.148286189,1.51E-06,10.4531989,7393.43305
63,55,0.01555548,0.786051914,13.75493808,4.61E-06,10.3485418,4913.77292
64,55,0.013599629,0.628841531,13.76494707,4.60E-06,10.4615693,5085.04292
65,55,0.012074996,0.524034609,13.45163102,4.36E-06,10.5442614,5076.18527
66,55,0.010854978,0.449172522,12.96947233,4.02E-06,10.5919479,5689.1824
67,55,0.009857407,0.393025957,12.40294072,3.66E-06,10.6168624,6218.34654
68,55,0.009026936,0.349356406,11.79754974,3.30E-06,10.5933867,6718.63683
69,55,0.008325039,0.314420766,11.18298341,2.95E-06,10.5617038,7198.06626
70,55,0.0204352,0.786051914,16.48514134,6.87E-06,10.4421827,5314.8761
71,55,0.017864277,0.628841531,16.65512363,7.00E-06,10.5642304,5543.44067
72,55,0.015860156,0.524034609,16.40011046,6.75E-06,10.64511,5690.34524
73,55,0.014256548,0.449172522,15.91140595,6.31E-06,10.7006335,5755.62112
74,55,0.012945447,0.393025957,15.29676338,5.79E-06,10.7195997,5940.34201
75,55,0.011854073,0.349356406,14.61602887,5.26E-06,10.6990657,6492.28325
76,55,0.010931758,0.314420766,13.90919282,4.75E-06,10.6633825,6998.49309
77,55,0.025320201,0.786051914,18.8145407,9.24E-06,10.5285922,5628.27226
78,55,0.022133364,0.628841531,19.16013855,9.59E-06,10.6598093,5890.64635
79,55,0.019649003,0.524034609,18.98706471,9.38E-06,10.7456158,6073.96698
80,55,0.017661179,0.449172522,18.51856154,8.86E-06,10.7995144,6196.43181
81,55,0.016036039,0.393025957,17.88307111,8.21E-06,10.8215163,6257.21445
82,55,0.014683353,0.349356406,17.15351267,7.52E-06,10.7958563,6192.65347
83,55,0.013540288,0.314420766,16.37951627,6.83E-06,10.7601622,6784.57612
84,65,0.000957888,0.786051914,1.813702763,9.84E-08,12.0657578,4812.23426
85,65,0.000838096,0.628841531,1.73514342,8.94E-08,10.080795,4993.38262
86,65,0.000744623,0.524034609,1.637645189,7.93E-08,10.1576982,5440.0571
87,65,0.00066975,0.449172522,1.535687205,6.95E-08,10.2141232,5873.00099
88,65,0.000608471,0.393025957,1.435477212,6.07E-08,10.2324039,6293.63194
89,65,0.000557414,0.349356406,1.339940342,5.29E-08,10.2331958,6702.4982
90,65,0.00051423,0.314420766,1.249936181,4.62E-08,9.74005794,7065.12537
91,65,0.005762734,0.786051914,8.912422209,2.59E-06,10.0232014,4161.38914
92,65,0.005039942,0.628841531,8.765587938,2.49E-06,10.2946291,4643.73955
93,65,0.004476279,0.524034609,8.449944565,2.30E-06,10.3727093,5116.50263
94,65,0.00402504,0.449172522,8.057284384,2.08E-06,10.4236167,5576.59372
95,65,0.003655927,0.393025957,7.634737886,1.85E-06,10.4480104,6023.4592
96,65,0.00334853,0.349356406,7.205780113,1.65E-06,10.4313367,6457.99834
97,65,0.00308864,0.314420766,6.784964222,1.46E-06,10.4082245,6880.98264
98,65,0.010584612,0.786051914,13.96357778,6.79E-06,10.3556347,3751.18334
99,65,0.009255031,0.628841531,13.98700937,6.78E-06,10.4707957,4288.57973
100,65,0.008218292,0.524034609,13.67903523,6.45E-06,10.5499406,4790.14339
101,65,0.007388522,0.449172522,13.19700871,5.96E-06,10.6010386,5274.53663
102,65,0.006709944,0.393025957,12.62723099,5.42E-06,10.623298,5743.14774
103,65,0.006144967,0.349356406,12.01636032,4.89E-06,10.6009364,6197.48725
104,65,0.005667415,0.314420766,11.39490802,4.39E-06,10.569694,6638.25932
105,65,0.01541721,0.786051914,17.82755537,1.17E-05,10.4893625,4282.03733
106,65,0.013478907,0.628841531,18.09766529,1.20E-05,10.6167947,4429.29906
107,65,0.011967464,0.524034609,17.88886626,1.17E-05,10.7014104,4437.68974
108,65,0.010757856,0.449172522,17.41091186,1.10E-05,10.7556226,4972.48859
109,65,0.009768777,0.393025957,16.78347286,1.02E-05,10.7756884,5472.85585
110,65,0.0089454,0.349356406,16.07393409,9.26E-06,10.7566434,5949.52339
111,65,0.008249535,0.314420766,15.32783328,8.39E-06,10.7219756,6408.15542
112,65,0.020257273,0.786051914,20.92180715,1.68E-05,10.6055432,4632.05047
113,65,0.017709122,0.628841531,21.46048702,1.77E-05,10.7097323,4828.46625
114,65,0.015721942,0.524034609,21.39012791,1.76E-05,10.8385267,4952.82138
115,65,0.014131621,0.449172522,20.96315212,1.68E-05,10.8962723,4999.72281
116,65,0.012831325,0.393025957,20.32740375,1.57E-05,10.9244914,5182.92179
117,65,0.011748966,0.349356406,19.5682497,1.44E-05,10.8966113,5704.49927
118,65,0.010834314,0.314420766,18.74465965,1.32E-05,10.8547266,6186.09705
119,65,0.025102876,0.786051914,23.47963966,2.19E-05,10.6648387,4899.90455
120,65,0.021944165,0.628841531,24.28773562,2.37E-05,10.924019,5140.93742
121,65,0.01948054,0.524034609,24.37198293,2.39E-05,10.9625363,5290.95442
122,65,0.017508884,0.449172522,24.02026826,2.31E-05,11.0265367,5388.93968
123,65,0.015896845,0.393025957,23.40460467,2.18E-05,11.0521664,5427.37264
124,65,0.014555068,0.349356406,22.62620362,2.02E-05,11.0213463,5413.60487
125,65,0.013421269,0.314420766,21.75563823,1.86E-05,10.9910118,5963.31507
126,75,0.000947731,0.786051914,2.574950526,2.80E-07,11.4196533,4675.00027
127,75,0.000829332,0.628841531,2.473592903,2.56E-07,10.0819271,5058.68165
128,75,0.00073692,0.524034609,2.340726601,2.28E-07,10.1810056,5530.94832
129,75,0.000662882,0.449172522,2.199481068,2.01E-07,10.2356639,5987.15836
130,75,0.000602277,0.393025957,2.059314147,1.76E-07,10.2510351,6431.39609
131,75,0.000551774,0.349356406,1.924826366,1.54E-07,10.2524825,6864.42496
132,75,0.000509055,0.314420766,1.797525957,1.34E-07,10.292342,7292.32841
133,75,0.005707632,0.786051914,11.82755873,6.62E-06,10.2840898,4107.56526
134,75,0.004991883,0.628841531,11.76050096,6.51E-06,10.3936459,4605.09164
135,75,0.004433591,0.524034609,11.43475976,6.11E-06,10.4726482,5098.2681
136,75,0.003986617,0.449172522,10.97947568,5.59E-06,10.5193266,5581.41933
137,75,0.003620987,0.393025957,10.46379189,5.05E-06,10.5509835,6054.28036
138,75,0.003316495,0.349356406,9.924004978,4.53E-06,10.5271524,6514.81971
139,75,0.003059066,0.314420766,9.383370204,4.04E-06,10.4928829,6963.81536
140,75,0.010488368,0.786051914,17.79993945,1.62E-05,10.4887887,3723.78402
